question,answer,question_vi,answer_vi
"Which emperor was named the “Khan of Heaven"" by various Turkic nomads during the Sui and Tang dynasties?",Emperor Taizong of Tang,Vị hoàng đế nào được nhiều người du mục Thổ Nhĩ Kỳ khác nhau mệnh danh là “Hãn thiên” trong triều đại nhà Tùy và nhà Đường?,Hoàng đế Thái Tông nhà Đường
Which entomologist and astronomer from New Zealand first proposed adopting a method of Daylight Saving Time?,George Hudson,Nhà côn trùng học và thiên văn học nào ở New Zealand lần đầu tiên đề xuất áp dụng phương pháp Tiết kiệm ánh sáng ban ngày?,George Hudson
Which ethnic group founded the earliest civilization of Mesopotamia?,The Sumerians,Dân tộc nào đã sáng lập ra nền văn minh sớm nhất của Lưỡng Hà?,Người Sumer
Which European country’s king funded Christopher Columbus’ famous expedition?,Spain,Vị vua của nước châu Âu nào đã tài trợ cho chuyến thám hiểm nổi tiếng của Christopher Columbus?,Tây Ban Nha
"Which European wrote the first travelogue detailing China’s history, culture, and art?",Marco Polo,"Người châu Âu nào đã viết tạp chí du lịch đầu tiên mô tả chi tiết về lịch sử, văn hóa và nghệ thuật của Trung Quốc?",Marco Polo
Which famous and influential family did the famous Renaissance art patron Duke Lorenzo belong to?,The House of Medici,"Công tước Lorenzo, người bảo trợ nghệ thuật nổi tiếng thời Phục hưng, thuộc về gia đình nổi tiếng và có ảnh hưởng nào?",Nhà Medici
"Which famous Japanese samurai was called “Ushiwakamaru"" as a child?",Minamoto no Yoshitsune,Samurai nổi tiếng nào của Nhật Bản được gọi là “Ushiwakamaru” khi còn nhỏ?,Minamoto no Yoshitsune
Which famous sculpture features a child urinating?,Manneken Pis,Tác phẩm điêu khắc nổi tiếng nào có hình một đứa trẻ đang đi tiểu?,Manneken Pis
Which figure from Greek mythology did Mary Shelley associate Frankenstein’s monster with?,Prometheus,Mary Shelley liên tưởng quái vật của Frankenstein với nhân vật nào trong thần thoại Hy Lạp?,Prometheus
"Which figure of history disguised himself as a Prussian captain and made off with over 4000 gold marks only to be later regarded as a folk hero and called the “Captain of Köpenick""?",Wilhelm Voigt,Nhân vật lịch sử nào cải trang thành thuyền trưởng Phổ và mang theo hơn 4000 đồng vàng để sau này được coi là anh hùng dân gian và được mệnh danh là “Thuyền trưởng của Köpenick”?,Wilhelm Voigt
Which film won Outstanding Picture at the first ever Oscars?,Wings,Bộ phim nào đoạt giải Phim xuất sắc tại giải Oscar đầu tiên?,Cánh
"Which flavor of soup can does NOT appear in Andy Warhol’s famous work titled “Campbell’s Soup Cans""?",Corn,Hương vị nào của lon súp KHÔNG xuất hiện trong tác phẩm nổi tiếng của Andy Warhol có tựa đề “Lon súp Campbell”?,ngô
"Which formation is the “Imperial War Drum"" armament for?",V,"Trang bị ""Trống chiến hoàng gia"" dành cho đội hình nào?",V.
"Which French monarch was known as “Saint Louis""?",Louis IX,Vị vua Pháp nào được mệnh danh là “Thánh Louis”?,Louis IX
"Which Futhark rune represents Týr, the god of war and justice in Germanic mythology?",Tiwaz,"Chữ rune Futhark nào đại diện cho Týr, vị thần chiến tranh và công lý trong thần thoại Đức?",Tiwaz
Which gas makes up more than 90% of Mars’ atmosphere?,Carbon Dioxide,Loại khí nào chiếm hơn 90% bầu khí quyển của sao Hỏa?,Cacbon điôxit
Which German psychologist discovered the human brain’s forgetting curve?,Hermann Ebbinghaus,Nhà tâm lý học người Đức nào đã phát hiện ra đường cong quên lãng của não người?,Hermann Ebbinghaus
Which goalkeeper has scored the most goals in professional soccer?,Rogério Ceni,Thủ môn nào ghi nhiều bàn thắng nhất trong bóng đá chuyên nghiệp?,Rogério Ceni
Which god is Taranis in Celtic mythology?,Thunder God,Taranis là vị thần nào trong thần thoại Celtic?,Thần Sấm
"Which Greek goddess is portrayed on the Jules Rimet trophy, the original World Cup trophy?",Nike,"Nữ thần Hy Lạp nào được khắc họa trên chiếc cúp Jules Rimet, chiếc cúp World Cup đầu tiên?",Nike
Which inventor built the world’s first electric locomotive in 1837?,Robert Davidson,Nhà phát minh nào đã chế tạo ra đầu máy điện đầu tiên trên thế giới vào năm 1837?,Robert Davidson
Which is Minamoto no Yoshitsune’s active skill?,Kyohachiryu,Kỹ năng chủ động của Minamoto no Yoshitsune là gì?,Kyohachiryu
Which is recognized by the Guinness Book of World Records as having the largest cumulative circulation of any single-author comic?,One Piece,Truyện nào được Sách Kỷ lục Guinness Thế giới công nhận là có lượng phát hành tích lũy lớn nhất so với bất kỳ truyện tranh một tác giả nào?,một mảnh
Which is the deepest known trench in the world?,The Mariana Trench,Rãnh nào được biết đến sâu nhất trên thế giới?,Rãnh Mariana
Which is the highest plateau in the world?,The Tibetan Plateau,Cao nguyên nào cao nhất thế giới?,Cao nguyên Tây Tạng
Which is the longest continental mountain range on earth?,The Andes,Dãy núi lục địa nào dài nhất trên trái đất?,Dãy Andes
Which is the smallest known snake species?,Barbados threadsnake,Loài rắn nào nhỏ nhất được biết đến?,Rắn chủ đề Barbados
Which is the Viking civilization’s special unit?,Berserker,Đơn vị đặc biệt của nền văn minh Viking là gì?,Kẻ điên cuồng
Which is the world’s largest church?,St. Peter’s Basilica,Nhà thờ nào lớn nhất thế giới?,Vương cung thánh đường Thánh Phêrô
Which is the world’s smallest island country?,Nauru,Quốc đảo nào nhỏ nhất thế giới?,Nauru
"Which Japanese haiku poet wrote under the pseudonym “Tosei""?",Matsuo Basho,Nhà thơ haiku Nhật Bản nào viết dưới bút danh “Tosei”?,Matsuo Basho
Which kingdom did the commander Boudica reign over?,Iceni,Chỉ huy Boudica đã trị vì vương quốc nào?,Iceni
"Which landmark in Sydney, Australia is shaped like sails?",Sydney Opera House,"Địa danh nào ở Sydney, Úc có hình cánh buồm?",Nhà Hát Opera Sydney
Which mammalian order does Suidae belong to?,Artiodactyla,Suidae thuộc bộ động vật có vú nào?,Artiodactyla
Which manager has managed in six World Cups?,Carlos Alberto Parreira,Người quản lý nào đã quản lý trong sáu kỳ World Cup?,Carlos Alberto Parreira
Which manager led his team to a record 11 consecutive World Cup match victories?,Luiz Felipe Scolari,Người quản lý nào đã dẫn dắt đội bóng của mình đạt kỷ lục 11 trận thắng liên tiếp tại World Cup?,Luiz Felipe Scolari
"Which military commander was known as the “Teutoburg’s Liberator""?",Hermann,Chỉ huy quân sự nào được mệnh danh là “Người giải phóng Teutoburg”?,Hermann
"Which military leader was known as the “Reformer of the Legions""?",Gaius Marius,Nhà lãnh đạo quân sự nào được mệnh danh là “Nhà cải cách của quân đoàn”?,Gaius Marius
Which modern-day city was Shakespeare’s Globe Theater built in?,London,Nhà hát Globe của Shakespeare được xây dựng ở thành phố hiện đại nào?,Luân Đôn
Which monarch built the Hagia Sophia?,Justinian I,Vị vua nào đã xây dựng Hagia Sophia?,Justinian I
Which musical instrument is a national emblem of Ireland?,Harp,Nhạc cụ nào là biểu tượng quốc gia của Ireland?,đàn hạc
"Which musician composed “The Marriage of Figaro""?",Mozart,Nhạc sĩ nào sáng tác “Cuộc hôn nhân của Figaro”?,Mozart
Which new method of constructing columns in ancient Rome was based on the three main Greek styles?,The Tuscan column.,Phương pháp xây dựng cột mới nào ở La Mã cổ đại dựa trên ba phong cách chính của Hy Lạp?,Cột Tuscan.
Which Nobel Prize is the most recently established?,The Nobel Prize in Economics,Giải Nobel nào được thành lập gần đây nhất?,Giải thưởng Nobel về kinh tế
Which of the Babylonian Codes of Law was the first full set of written laws in recorded history?,The Code of Hammurabi,Bộ luật nào của Babylon là bộ luật thành văn đầy đủ đầu tiên trong lịch sử được ghi lại?,Bộ luật Hammurabi
Which of the below figures were not Knights of King Arthur’s Round Table?,Merlin,Nhân vật nào dưới đây không phải là Hiệp sĩ Bàn tròn của Vua Arthur?,Merlin
Which of the below states was not part of the Three Kingdoms period?,Jin,Nước nào dưới đây không thuộc thời Tam Quốc?,Jin
Which of the following accurately describes the Arctic Circle?,Polar Day and Polar Night are phenomenons that occur there,Điều nào sau đây mô tả chính xác Vòng Bắc Cực?,Ngày Cực và Đêm Cực là những hiện tượng xảy ra ở đó
"Which of the following achievements must be completed before the “Special Snowflake"" achievement?",Long-range Strike,Thành tích nào sau đây phải được hoàn thành trước thành tích “Bông tuyết đặc biệt”?,Tấn công tầm xa
Which of the following actions is NOT available to an alliance leader in Rise of Kingdoms?,Quit Alliance,Thủ lĩnh liên minh trong Rise of Kingdoms KHÔNG có thể thực hiện hành động nào sau đây?,Thoát khỏi liên minh
Which of the following animals does NOT lay eggs?,Bat,Loài động vật nào sau đây KHÔNG đẻ trứng?,dơi
Which of the following animals was on the imperial banner of the Inca Empire?,Snake,Con vật nào sau đây xuất hiện trên lá cờ đế quốc của Đế chế Inca?,con rắn
Which of the following are carnivores?,Dragonflies,Động vật nào sau đây là động vật ăn thịt?,Chuồn chuồn
Which of the following are NOT mammals?,Turtle,Loài nào sau đây KHÔNG phải là động vật có vú?,Rùa
Which of the following awards daily activity points?,Defeating barbarian troops on the map,Điều nào sau đây thưởng điểm hoạt động hàng ngày?,Đánh bại quân man rợ trên bản đồ
Which of the following best describes a Clownfish?,Tropical marine fish,Điều nào sau đây mô tả đúng nhất về Cá hề?,Cá biển nhiệt đới
Which of the following buffs can take effect during Sunset Canyon battles?,Buffs from equipment,Những phép bổ trợ nào sau đây có thể có hiệu lực trong các trận chiến tại Sunset Canyon?,Buff từ trang bị
Which of the following buffs comes from levelling up the required structure to level 25?,Transportation March Speed Bonus,Những phép bổ trợ nào sau đây đến từ việc tăng cấp công trình cần thiết lên cấp 25?,Tiền thưởng tốc độ vận chuyển tháng 3
Which of the following buildings cannot be upgraded?,Courier Station,Tòa nhà nào sau đây không thể nâng cấp?,Trạm chuyển phát nhanh
Which of the following can NOT be found in a Silver Chest at the Tavern?,Lv.3 Tome of Knowledge,Thứ nào sau đây KHÔNG thể tìm thấy trong Rương bạc ở Quán rượu?,Cuốn sách kiến thức Lv.3
Which of the following can NOT be found in Alliance Shops?,Golden Key,Điều nào sau đây KHÔNG thể tìm thấy trong Cửa hàng Liên minh?,Chìa Khóa Vàng
Which of the following CANNOT be equipped to a Commander?,Lohar’s Longbow,Những thứ nào sau đây KHÔNG THỂ được trang bị cho Chỉ huy?,Cung Dài của Lohar
Which of the following cat breeds is known for being hairless?,Sphynx,Giống mèo nào sau đây được biết đến là không có lông?,Sphynx
"Which of the following characters are NOT present in the “Journey to the West"" story?",Third Sister Hu,Nhân vật nào sau đây KHÔNG có mặt trong câu chuyện “Tây Du Ký”?,Chị ba Hồ
"Which of the following Chinese emperors’ reigns was known as the “Reign of Zhenguan""?",Emperor Taizong of Tang,Triều đại của hoàng đế Trung Quốc nào sau đây được gọi là “Triều đại Trấn Quán”?,Hoàng đế Thái Tông nhà Đường
Which of the following cities is the capital of France?,Paris,Thành phố nào sau đây là thủ đô của nước Pháp?,Paris
Which of the following cities was the first to have an underground rapid transit system?,London,Thành phố nào sau đây là thành phố đầu tiên có hệ thống vận chuyển nhanh chóng dưới lòng đất?,Luân Đôn
Which of the following city buildings CAN be upgraded?,Trading Post,Những tòa nhà thành phố nào sau đây CÓ THỂ được nâng cấp?,Trạm giao dịch
Which of the following civilizations cannot buff their cavalry?,The Ottomans,Nền văn minh nào sau đây không thể buff kỵ binh của họ?,người Ottoman
